// Item Group Database
//
// Structure of Database:
// GroupID,ItemID,Rate{,Amount,Random,isAnnounced,Duration,GUID,isBound,isNamed}


//New Spin Box
IG_S2WBOX,909,1


//Modification Moodule Box
//common
IG_Modification_Moodule,25670,9          //Modification Module (Defense),
IG_CLASS_SHADOW,24292,1      //Arcbishop_Shadow_Weapon
IG_CLASS_SHADOW,24293,1      //Sura_Shadow_Weapon
IG_CLASS_SHADOW,24294,1      //Guillotine_Cross_Shadow_Weapon
IG_CLASS_SHADOW,24295,1      //Shadow_Chaser_Shadow_Weapon
IG_CLASS_SHADOW,24296,1      //Warlock_Shadow_Weapon
IG_CLASS_SHADOW,24297,1      //Sorcerer_Shadow_Weapon
IG_CLASS_SHADOW,24298,1      //Ranger_Shadow_Weapon
IG_CLASS_SHADOW,24299,1      //Minstrel_Shadow_Weapon
IG_CLASS_SHADOW,24300,1      //Wanderer_Shadow_Weapon
IG_CLASS_SHADOW,24301,1      //Rune_Knight_Shadow_Shield
IG_CLASS_SHADOW,24302,1      //Royal_Guard_Shadow_Shield
IG_CLASS_SHADOW,24303,1      //Mechanic_Shadow_Shield
IG_CLASS_SHADOW,24304,1      //Genetic_Shadow_Shield
IG_CLASS_SHADOW,24305,1      //Archbishop_Shadow_Shield
IG_CLASS_SHADOW,24306,1      //Sura_Shadow_Shield
IG_CLASS_SHADOW,24307,1      //Guillotine_Cross_Shadow_Shield
IG_CLASS_SHADOW,24308,1      //Shadow_Chaser_Shadow_Shield
IG_CLASS_SHADOW,24309,1      //Warlock_Shadow_Shield
IG_CLASS_SHADOW,24310,1      //Sorcerer_Shadow_Shield
IG_CLASS_SHADOW,24311,1      //Ranger_Shadow_Shield
IG_CLASS_SHADOW,24312,1      //Minstrel_Shadow_Shield
IG_CLASS_SHADOW,24313,1      //Wanderer_Shadow_Shield
IG_CLASS_SHADOW,24314,1      //Ninja_Shadow_Shield
IG_CLASS_SHADOW,24315,1      //Taekwon_Shadow_Shield
IG_CLASS_SHADOW,24316,1      //Doram_Physical_Shadow_Shield
IG_CLASS_SHADOW,24317,1      //Doram_Magical_Shadow_Shield
IG_CLASS_SHADOW,24318,1      //Super_Novice_Shadow_Shield
IG_CLASS_SHADOW,24319,1      //Gunslinger_Shadow_Shield
IG_CLASS_SHADOW,24402,1      //Rebellion_Shadow_Armor
IG_CLASS_SHADOW,24403,1      //Kagerou_Shadow_Armor
IG_CLASS_SHADOW,24404,1      //Oboro_Shadow_Armor
IG_CLASS_SHADOW,24405,1      //Rebellion_Shadow_Shoes
IG_CLASS_SHADOW,24406,1      //Kagerou_Shadow_Shoes
IG_CLASS_SHADOW,24407,1      //Oboro_Shadow_Shoes
IG_CLASS_SHADOW,24408,1      //Doram_Physical_Shadow_Armor
IG_CLASS_SHADOW,24409,1      //Doram_Physical_Shadow_Sho
IG_CLASS_SHADOW,24410,1      //Doram_Magical_Shadow_Armo
IG_CLASS_SHADOW,24411,1      //Doram_Magical_Shadow_Shoe
IG_CLASS_SHADOW,24412,1      //Star_Emperor_Shadow_Armor
IG_CLASS_SHADOW,24413,1      //Star_Emperor_Shadow_Shoes
IG_CLASS_SHADOW,24414,1      //Soul_Reaper_Shadow_Armor
IG_CLASS_SHADOW,24415,1      //Soul_Reaper_Shadow_Shoes


//halloween costume's
IG_CHallow,50301,1
IG_CHallow,50300,1
IG_CHallow,50298,1
IG_CHallow,50295,1
IG_CHallow,50294,1
IG_CHallow,50289,1
IG_CHallow,50288,1
IG_CHallow,50287,1
IG_CHallow,50244,1
//IG_CHallow,50245,1
IG_CHallow,50246,1
IG_CHallow,50242,1
IG_CHallow,50241,1
IG_CHallow,50240,1
IG_CHallow,50239,1
IG_CHallow,50238,1
IG_CHallow,50237,1
IG_CHallow,50236,1
IG_CHallow,50235,1
IG_CHallow,50234,1
IG_CHallow,50232,1
IG_CHallow,50233,1
IG_CHallow,50227,1
IG_CHallow,50224,1
IG_CHallow,50225,1
IG_CHallow,50228,1
IG_CHallow,50229,1
IG_CHallow,50223,1
IG_CHallow,50222,1
IG_CHallow,50220,1
IG_CHallow,50152,1
IG_CHallow,50153,1
IG_CHallow,50154,1
IG_CHallow,50155,1
IG_CHallow,50156,1
IG_CHallow,50157,1
IG_CHallow,50158,1
IG_CHallow,50159,1
IG_CHallow,50160,1
IG_CHallow,50146,1
IG_CHallow,50147,1
IG_CHallow,50148,1
IG_CHallow,50149,1
IG_CHallow,50150,1
IG_CHallow,50151,1
IG_CHallow,50145,1
IG_CHallow,50144,1
IG_CHallow,50133,1
IG_CHallow,50134,1
IG_CHallow,50135,1
IG_CHallow,50136,1
IG_CHallow,50137,1
IG_CHallow,50138,1
IG_CHallow,50139,1
IG_CHallow,50140,1
IG_CHallow,50141,1
IG_CHallow,50142,1
IG_CHallow,50120,1
IG_CHallow,50121,1
IG_CHallow,50313,1
IG_CHallow,50314,1
IG_CHallow,50315,1
IG_CHallow,50316,1
IG_CHallow,50317,1
IG_CHallow,50318,1


//yggdrasil egg
IG_Yggegg,28502,1       //Mob_Scarf
IG_Yggegg,22069,1       //Lian_Shoes
IG_Yggegg,2195,1        //Lian_Shield
IG_Yggegg,20753,1       //Lian_Robe
IG_Yggegg,20734,1      //Manteau_Of_Leafwind,Man
IG_Yggegg,20735,1      //Manteau_Of_Flame_Heart,
IG_Yggegg,20745,1      //Manteau_Of_Mistic_Froz,
IG_Yggegg,20747,1      //Manteau_Great_Nature,
IG_Yggegg,19439,1     //vicious-mind-aura
IG_Yggegg,20940,1        //Violet_Halo
IG_Yggegg,19296,1      //Fancy_Feather_Hat_,
IG_Yggegg,19249,1      //Spell_Circuit_
IG_Yggegg,19308,1      //Amistr_Beret_,
IG_Yggegg,19300,1      //Ruff_Officer_,
IG_Yggegg,19098,5	    //piammette hood
IG_Yggegg,5898,5    //autumn headband
IG_Yggegg,19171,5	//Magician Knit Hat [1]
IG_Yggegg,5778,6	//Turkey On Your Head [1]
IG_Yggegg,19163,6	//Catherina Von Blood [1]
IG_Yggegg,5469,6	//Musketeer Hat
IG_Yggegg,5973,6	//Ancient Elven Ear
IG_Yggegg,5876,6	//Star-Spangled Bandana [1]
IG_Yggegg,18522,6	//evil marching hat
IG_Yggegg,18597,6	//mercury raiser
IG_Yggegg,19095,6	//Happy Balloon
IG_Yggegg,18564,6		//Love Piece
IG_Yggegg,18750,5		//poker card
IG_Yggegg,5800,5		//blush of groom
IG_Yggegg,5377,5		//gentlman's pipe
IG_Yggegg,18787,5		//hockey mask
IG_Yggegg,5483,5		//odin mask
IG_Yggegg,50020,12	// custom garment
IG_Yggegg,12913,12  	//blessing scroll box
IG_Yggegg,12914,12  	//agi scroll box
IG_Yggegg,13913,12  	//party blessing scroll box
IG_Yggegg,13914,12  	//party agi scroll box
IG_Yggegg,13700,12  	//adrenalin rush scroll box
IG_Yggegg,12917,12  	//windwalker scroll box
IG_Yggegg,13749,12  	//big def potion box
IG_Yggegg,14091,12  	//big mdef potion box
IG_Yggegg,50017,12  	//FCP Scroll box
IG_Yggegg,14159,12      // +10 luk food  box
IG_Yggegg,14161,12      // +10 Int food  box
IG_Yggegg,14162,12      // +10 Dex food  box
IG_Yggegg,14163,12      // +10 Agi food  box
IG_Yggegg,14160,12      // +10 Str food  box
IG_Yggegg,14164,12      // +10 Vit food  box
IG_Yggegg,12902,12      //bubble gum box
IG_Yggegg,12910,12      //Giant Flywing Box
IG_Yggegg,13749,12      //big def potion box
IG_Yggegg,14091,12      //big mdef potion box
IG_Yggegg,14542,12      //big def potion
IG_Yggegg,14544,12      //big def potion
IG_Yggegg,13717,12		//abrasive box
IG_Yggegg,50021,12      //change announcer ticket
IG_Yggegg,50010,12		//change outfit ticket
IG_Yggegg,12909,12		//kafra card box
// IG_Yggegg,13710,10		//Gym pass box
IG_Yggegg,12922,12		//ToS box
IG_Yggegg,16770,12		//silvervine fruit bo

//aim_box
IG_aimbox,26154,5       //spirit Pendulum [2]
IG_aimbox,60109,5        //Trumpet Shell
IG_aimbox,60110,5        //Barbed Wire Whip
IG_aimbox,21038,5        //Oriental Sword
IG_aimbox,28631,5        //Thousand Sun
IG_aimbox,28942,5        //Bloody_Knight_Shield
IG_aimbox,1847,5         //Iron_Nail
IG_aimbox,2048,5         //Aeon_Staff
IG_aimbox,13485,5        //Red_Lotus_Sword
IG_aimbox,18164,5        //Royal_Bow
IG_aimbox,18170,5        //Neev_Bow_Of_Rogue
IG_aimbox,32018,5        //Aquatic_Spear_
IG_aimbox,28744,5        //Madogum,Madogum
IG_aimbox,26118,5        //Shadow_Staff
IG_aimbox,28039,5        //Katar_of_Shiver
IG_aimbox,28130,5        //Avenger_,Avenger
IG_aimbox,28439,5        //Sea_Otter_Mini_Fan
IG_aimbox,28257,5        //Golden_Lord_Launcher
IG_aimbox,22171,5        //Ancient_Hero_Boots
IG_aimbox,19048,5        //Elemental_Clothe
IG_aimbox,19083,5        //Mask_of_Hero
IG_aimbox,28225,5        //Burning_Rose
IG_aimbox,28353,5        //Vesper_Gear_02
IG_aimbox,32302,5        //Crimson_Rose
IG_aimbox,28258,5        //The_Black
IG_aimbox,28256,5        //Demon_Slayer_Shot
IG_aimbox,26155,5        //Meowmeow_Foxtail
IG_aimbox,13345,5        //Huuma_Shuriken_Clearness
IG_aimbox,28255,5        //Master_Soul_Rifle
IG_aimbox,60100,5        //Scarlet_Dragon_Leather_Bow
IG_aimbox,60101,5        //Saint_Mace
IG_aimbox,60103,5        //Fatalist
IG_aimbox,28632,5        //Exorcists_Bible
IG_aimbox,60104,5        //Blade_Katar
IG_aimbox,28763,5        //Surudoi_Kaze
IG_aimbox,28764,5        //Kiri_no_Tsuyu
IG_aimbox,18754,5        //Blood_Sucker
IG_aimbox,19241,5        //Magical_Booster
IG_aimbox,19245,5        //Crimson_Booster
IG_aimbox,60105,5        //Meteor_Striker
IG_aimbox,60106,5        //Slate_Sword
IG_aimbox,60107,5        //Light_Blade
IG_aimbox,20940,5        //Violet_Halo
IG_aimbox,23926,5        //Shadow_Refine_Hammer_9


//shadow gear
//Tier 3 shadow box
IG_T3SHADOW,24018,5    // physical shadow earring
IG_T3SHADOW,24019,5    // physical shadow wepaon
IG_T3SHADOW,24020,5    // physical shadow pendant
IG_T3SHADOW,24021,5    // magical shadow earring
IG_T3SHADOW,24022,5    // magical shadow weapon
IG_T3SHADOW,24023,5    // magical shadow pendant
IG_T3SHADOW,24028,5    // hard shadow armor hp)
IG_T3SHADOW,24025,5    // champion shadow footgearhp)
IG_T3SHADOW,24048,5    // caster shadow pendant
IG_T3SHADOW,24110,5    // caster shadow weap
IG_T3SHADOW,24109,5    // caster shadow earring
IG_T3SHADOW,24197,5    // hasty shadow armor flee & MS)
IG_T3SHADOW,24196,5    // hasty shadow shoes flee & MS)
IG_T3SHADOW,24212,5    // rookie shadow shoes
IG_T3SHADOW,24213,5    // rookie shadow shield
IG_T3SHADOW,24360,5    // tension shadow waep hp regain)
IG_T3SHADOW,24361,5    // tension shadow earr hp regain)
IG_T3SHADOW,24362,5    // tension shadow pend hp regain)
IG_T3SHADOW,24366,5    // healing shadow shield
IG_T3SHADOW,24367,5    // healing shadow shoes
IG_T3SHADOW,24033,5    // healing shadow weap

//Tier 2 shadow box
IG_T2SHADOW,24030,5    // crit shadow armor
IG_T2SHADOW,24032,5    // crit shadow weap
IG_T2SHADOW,24031,5    // kingbird shadow weap (ranged)
IG_T2SHADOW,24029,5    // ancient shadow armor (ranged)
IG_T2SHADOW,24053,5    // safeguard shadow shield (-% boss damage)
IG_T2SHADOW,24063,5    // liberation shadow shield (+% damage boss)
IG_T2SHADOW,24081,5    // malicious shadow armor
IG_T2SHADOW,24082,5    // malicious shadow shpes
IG_T2SHADOW,24083,5    // malicious shadow shield
IG_T2SHADOW,24216,5    // attack shadow armor(chance)
IG_T2SHADOW,24219,5    // cold bolt shadow armor
IG_T2SHADOW,24220,5    // fire bolt shadow armor
IG_T2SHADOW,24221,5    // lightning bolt shadow armor
IG_T2SHADOW,24222,5    // earth spike shadow armor
IG_T2SHADOW,24231,5    // blitz shadow shoes
IG_T2SHADOW,24232,5    // blitz shadow shield

//Tier 1 shadow box
IG_T1SHADOW,24084,5    // gemstone shadow armor
IG_T1SHADOW,24085,5    // gemstone shadow shoes
IG_T1SHADOW,24086,5    // gemstone shadow shield
IG_T1SHADOW,24087,5    // gemstone shadow weap
IG_T1SHADOW,24088,5    // gemstone shadow earring
IG_T1SHADOW,24089,5    // gemstone shadow pendant
IG_T1SHADOW,24180,5    // bearer's shadow armor
IG_T1SHADOW,24181,5    // bearer's shadow shoes
IG_T1SHADOW,24182,5    // bearer's shadow shield
IG_T1SHADOW,24183,5    // bearer's shadow weap
IG_T1SHADOW,24184,5    // bearer's shadow earring
IG_T1SHADOW,24185,5    // bearer's shadow pendant
IG_T1SHADOW,24233,5    // exceeding shadow weap
IG_T1SHADOW,24245,5    //reload armor
IG_T1SHADOW,24244,5    //reload shield
IG_T1SHADOW,24243,5    //reload boots
IG_T1SHADOW,24370,5    // mrotal blow shadow weap (high crit)
IG_T1SHADOW,24371,5    // mrotal blow shadow ear
IG_T1SHADOW,24372,5    // mrotal blow shadow weap

//Skills shadow box 
IG_SKILLBOX,24114,5    // greed shadow armor
IG_SKILLBOX,24120,5    // heal shadow armor
IG_SKILLBOX,24126,5    // hide shadow armor
IG_SKILLBOX,24132,5    // cloaking shadow armor
IG_SKILLBOX,24138,5    // teleport shadow armor
IG_SKILLBOX,24144,5    // steal shadow armor

// Normal slot machine reward
IG_S2W1,12100,40 // +10 luk food low
IG_S2W1,12080,40 // +10 Int food low 
IG_S2W1,12095,40 // +10 Dex food low
IG_S2W1,12090,40 // +10 Agi food low 
IG_S2W1,12075,40 // +10 Str food low
IG_S2W1,12085,40 // +10 Vit food low 
IG_S2W1,50062,40 // mhaer scroll
IG_S2W1,60204,10,1 // 5 MVP coins (C) low
IG_S2W1,60203,10,1 // 5 MVP coins (B) low
IG_S2W1,50007,10,1 // more tickets low 
IG_S2W1,50007,10,5 // more tickets low 
IG_S2W1,12208,10,1 // battle manual
IG_S2W1,616,10 // old card album medium
//IG_S2W1,7776,10 // Gym pass low 
IG_S2W1,12211,10 // Kafra card low
IG_S2W1,6417,10,3 // Silvervine fruit medium
IG_S2W1,50004,5 // Random costume box (upper) medium
IG_S2W1,50005,5 // Random costume box (middle) medium
IG_S2W1,50006,5 // Random costume box (lower) medium
IG_S2W1,12884,5 // Infinite concentration potion medium
IG_S2W1,6241,1 // HD Elunium high
IG_S2W1,6240,1 // HD Oiredon high 
IG_S2W1,7620,1 // Enriched Oiredon medium
IG_S2W1,7619,1 // Enriched Elunium medium
IG_S2W1,12210,1,1 // bubble gum
IG_S2W1,6226,1 // HD Bradium high
IG_S2W1,6225,1 // HD Carnium high


// Medium slot machine reward
IG_S2W2,12100,45,2 	// +10 luk food low
IG_S2W2,12080,45,2 	// +10 Int food low 
IG_S2W2,12095,45,2 	// +10 Dex food low
IG_S2W2,12090,45,2 	// +10 Agi food low 
IG_S2W2,12075,45,2 	// +10 Str food low
IG_S2W1,50062,40 	// mhaer scroll
IG_S2W2,12085,45,2 	// +10 Vit food low 
IG_S2W2,60204,10,3 	// 5 MVP coins (C) low
IG_S2W2,60203,10,3 	// 5 MVP coins (B) low
IG_S2W2,12211,10 	// Kafra card low
IG_S2W2,50004,10 	// Random costume box (upper) low
IG_S2W1,12208,10,1 	// battle manual
IG_S2W1,12210,5,1 	// bubble gum
IG_S2W2,50005,5 	// Random costume box (middle) low 
IG_S2W2,50006,3 	// Random costume box (lower) low
IG_S2W2,616,10 		// old card album medium
IG_S2W2,12103,5 	// Bloody branch low
IG_S2W2,50007,5,5 	// more tickets low
IG_S2W2,50007,5,10 	// more tickets low
IG_S2W2,6241,1		// HD Elunium medium
IG_S2W2,6240,1		// HD Oiredon medium
IG_S2W2,6226,1		// HD Bradium medium
IG_S2W2,50008,5,25 	// Cash Points medium
IG_S2W2,6225,1		// HD Carnium medium
IG_S2W2,12886,1 	// Infinite berserk potion medium
IG_S2W2,12885,1 	// Infinite awakening potion high
IG_S2W1,50010,1 	// new outfit coupon medium
IG_S2W2,7776,1 		// Gym pass low
IG_S2W2,50008,1,100 // Cash Points high
//IG_S2W2,6229,1 		// Safe to +8 weap high
IG_S2W2,50010,1 	// new outfit coupon low
//IG_S2W2,6233,1 		// Safe to +8 armor high
IG_S2W2,12622,1 	// Hatler Lead low

// High slot machine reward
IG_S2W3,60057,10 	// 3d phone
IG_S2W3,6241,30,3 	// HD Elunium medium
IG_S2W3,6240,30,3 	// HD Oiredon medium
IG_S2W3,6226,30,3 	// HD Bradium medium
IG_S2W3,6225,30,3 	// HD Carnium medium
IG_S2W3,7620,30,3 	// Enriched Oiredon medium
IG_S2W3,7619,30,3 	// Enriched Elunium medium
IG_S2W3,12887,10 	// Infinite fly wing
//IG_S2W3,50000,2,1 	// 3 MVP coins (S)
IG_S2W3,50008,3,150 // Cash Points medium
IG_S2W3,50007,3,100 // more tickets low
IG_S2W3,50008,2,250 // Cash Points high
IG_S2W3,50008,1,500 // Cash Points
IG_S2W3,60202,10,1 	// 1 MVP coins (A)
IG_S2W2,50020,2 // Random costume box (Garment) low
IG_S2W3,6232,1,1,1,1 // Safe to +9 !weap high
IG_S2W3,6228,1,1,1,1 // Safe to +9 !armor high
IG_S2W3,2589,1,1,1,1 // FAW
IG_S2W3,2168,1,1,1,1 // Immune shield
IG_S2W3,50008,1,750,1,1 // Cash Points
IG_S2W3,50008,1,1000,1,1 // Cash Points
IG_S2W3,12246,1,1,1,1 // Mystical card album
IG_S2W3,50007,3,300,1,1 // more tickets low




//yggdrasil box
IG_Yggbox,60057,3 	// 3d phone
IG_Yggbox,7621,20		//Token of seigfried
IG_Yggbox,14542,20	//big def potion
IG_Yggbox,14544,20	//big def potion
IG_Yggbox,14537,20	//regen potion
IG_Yggbox,12221,20  	//Megaphone 
IG_Yggbox,12215,20	//blessing scroll
IG_Yggbox,12216,20	//increase Agi scroll
IG_Yggbox,14588,20	//party blessing scroll
IG_Yggbox,14589,20	//party agi scroll scroll
IG_Yggbox,12218,20	//Assumption scroll scroll
IG_Yggbox,12220,20	//adrenalin rush scroll
IG_Yggbox,12219,20	//windwalker scroll
IG_Yggbox,14536,20	//abrasive
IG_Yggbox,12710,20	//juyak pudding
IG_Yggbox,12202,20	//str food
IG_Yggbox,12204,20	//int food
IG_Yggbox,12205,20	//dex food
IG_Yggbox,12206,20	//luk food
IG_Yggbox,12203,20	//agi food
IG_Yggbox,12207,20	//vit food
IG_Yggbox,12922,10	//ToS box
IG_Yggbox,12913,10	//blessing scroll box
IG_Yggbox,12914,10	//agi scroll box
IG_Yggbox,13913,10	//party blessing scroll box
IG_Yggbox,13914,10	//party agi scroll box
IG_Yggbox,13700,10	//adrenalin rush scroll box
IG_Yggbox,12917,10	//windwalker scroll box
IG_Yggbox,13749,10	//big def potion box
IG_Yggbox,14091,10	//big mdef potion box
IG_Yggbox,50017,10	//FCP Scroll
//IG_Yggbox,14545,10	//3x Battle manual
IG_Yggbox,14159,10 // +10 luk food  box
IG_Yggbox,14161,10 // +10 Int food  box
IG_Yggbox,14162,10 // +10 Dex food  box
IG_Yggbox,14163,10 // +10 Agi food  box
IG_Yggbox,14160,10 // +10 Str food  box
IG_Yggbox,14164,10 // +10 Vit food  box
IG_Yggbox,12902,10//bubble gum box
IG_Yggbox,13639,10//battle manual box
IG_Yggbox,12208,25 // battle manual
IG_Yggbox,14592,25 //job manual
IG_Yggbox,12210,25 // bubble gum
IG_Yggbox,7776,10 // Gym pass
IG_Yggbox,12885,5 // Infinite awakening potion high
IG_Yggbox,12887,5 // Infinite fly wing
IG_Yggbox,12622,5 // Hatler Lead 
IG_Yggbox,12103,10 // Bloody branch 
IG_Yggbox,6241,10 // HD Elunium high
IG_Yggbox,6240,10 // HD Oiredon high 
IG_Yggbox,7620,10 // Enriched Oiredon medium
IG_Yggbox,7619,10 // Enriched Elunium medium
IG_Yggbox,50010,5 // new outfit coupon 
IG_Yggbox,6229,5// Safe to +8 weap high
IG_Yggbox,6233,5// Safe to +8 armor high
IG_Yggbox,5380,7//Fish Head Hat
IG_Yggbox,5381,7	//Santa Poring Hat
IG_Yggbox,5382,7	//Bell Ribbon
IG_Yggbox,5383,7	//Hunter's Cap [1]
IG_Yggbox,5515,7		//Pisces Crown
IG_Yggbox,5514,7		//Pisces Diadem
IG_Yggbox,5502,7		//Necromancer's Hood [1]
IG_Yggbox,5472,7		//Red White Cap
IG_Yggbox,5208,7		//rideword hat
IG_Yggbox,5474,7	//AFK Hat
IG_Yggbox,5479,7		//Shaman's Hair Decoration
IG_Yggbox,5485,7		//Tiger Face
IG_Yggbox,5490,7		//Anubis Helm
IG_Yggbox,5495,7		//Power Of Thor [1]
IG_Yggbox,5496,7		//Dice Hat
IG_Yggbox,5508,7		//Shark Hat
IG_Yggbox,5547,7		//Red Flower Hairband [1]
IG_Yggbox,5388,7	//snake head hat
IG_Yggbox,5283,7		//chick hat
IG_Yggbox,5563,7		//dolor hat
IG_Yggbox,18539,7	//skull cap
IG_Yggbox,5389,7		//agnle spirit
IG_Yggbox,2589,1,1,1,1 // FAW
IG_Yggbox,2168,1,1,1,1 // Immune shield


//Costume (Gerement)
IG_C_Gerement,20500,1,1
IG_C_Gerement,20502,1,1
IG_C_Gerement,20504,1,1
IG_C_Gerement,20506,1,1
IG_C_Gerement,20507,1,1
//IG_C_Gerement,20508,1,1
IG_C_Gerement,20509,1,1
IG_C_Gerement,20510,1,1
IG_C_Gerement,20511,1,1
IG_C_Gerement,20512,1,1
IG_C_Gerement,20514,1,1
IG_C_Gerement,20515,1,1
IG_C_Gerement,20516,1,1
IG_C_Gerement,20517,1,1
IG_C_Gerement,20519,1,1
IG_C_Gerement,20524,1,1
IG_C_Gerement,20525,1,1
IG_C_Gerement,20526,1,1
IG_C_Gerement,20528,1,1
IG_C_Gerement,20530,1,1
IG_C_Gerement,20533,1,1
IG_C_Gerement,20539,1,1
IG_C_Gerement,20540,1,1
IG_C_Gerement,20541,1,1 //valk wing
IG_C_Gerement,20543,1,1
IG_C_Gerement,20546,1,1
IG_C_Gerement,20547,1,1
IG_C_Gerement,20548,1,1
IG_C_Gerement,20570,1,1
IG_C_Gerement,20572,1,1
IG_C_Gerement,20737,1,1
IG_C_Gerement,20746,1,1
IG_C_Gerement,20761,1,1
IG_C_Gerement,20762,1,1
IG_C_Gerement,20763,1,1
IG_C_Gerement,20764,1,1

//Costume (Upper)
IG_C_Upper,5980,1,1
IG_C_Upper,18740,1,1
IG_C_Upper,18741,1,1
IG_C_Upper,18743,1,1
IG_C_Upper,19501,1,1
IG_C_Upper,19506,1,1
IG_C_Upper,19507,1,1
IG_C_Upper,19508,1,1
IG_C_Upper,19515,1,1
IG_C_Upper,19516,1,1
IG_C_Upper,19517,1,1
IG_C_Upper,19518,1,1
IG_C_Upper,19519,1,1
IG_C_Upper,19520,1,1
IG_C_Upper,19521,1,1
IG_C_Upper,19522,1,1
IG_C_Upper,19523,1,1
IG_C_Upper,19524,1,1
IG_C_Upper,19525,1,1
IG_C_Upper,19526,1,1
IG_C_Upper,19527,1,1
IG_C_Upper,19529,1,1
IG_C_Upper,19530,1,1
IG_C_Upper,19532,1,1
IG_C_Upper,19533,1,1
IG_C_Upper,19535,1,1
IG_C_Upper,19536,1,1
IG_C_Upper,19537,1,1
IG_C_Upper,19538,1,1
IG_C_Upper,19539,1,1
IG_C_Upper,19543,1,1
IG_C_Upper,19544,1,1
IG_C_Upper,19545,1,1
IG_C_Upper,19546,1,1
IG_C_Upper,19547,1,1
IG_C_Upper,19548,1,1
IG_C_Upper,19549,1,1
IG_C_Upper,19557,1,1
IG_C_Upper,19558,1,1
IG_C_Upper,19559,1,1
IG_C_Upper,19560,1,1
IG_C_Upper,19561,1,1
IG_C_Upper,19565,1,1
IG_C_Upper,19567,1,1
IG_C_Upper,19568,1,1
IG_C_Upper,19569,1,1
IG_C_Upper,19570,1,1
IG_C_Upper,19571,1,1
IG_C_Upper,19572,1,1
IG_C_Upper,19573,1,1
IG_C_Upper,19575,1,1
IG_C_Upper,19576,1,1
IG_C_Upper,19577,1,1
IG_C_Upper,19579,1,1
IG_C_Upper,19581,1,1
IG_C_Upper,19582,1,1
IG_C_Upper,19585,1,1
IG_C_Upper,19586,1,1
IG_C_Upper,19587,1,1
IG_C_Upper,19588,1,1
IG_C_Upper,19589,1,1
IG_C_Upper,19590,1,1
IG_C_Upper,19591,1,1
IG_C_Upper,19592,1,1
IG_C_Upper,19593,1,1
IG_C_Upper,19594,1,1
IG_C_Upper,19595,1,1
IG_C_Upper,19596,1,1
IG_C_Upper,19597,1,1
IG_C_Upper,19598,1,1
IG_C_Upper,19599,1,1
IG_C_Upper,19600,1,1
IG_C_Upper,19601,1,1
IG_C_Upper,19602,1,1
IG_C_Upper,19607,1,1
IG_C_Upper,19608,1,1
IG_C_Upper,19613,1,1
IG_C_Upper,19614,1,1
IG_C_Upper,19616,1,1
IG_C_Upper,19617,1,1
IG_C_Upper,19618,1,1
IG_C_Upper,19619,1,1
IG_C_Upper,19620,1,1
IG_C_Upper,19622,1,1
IG_C_Upper,19623,1,1
IG_C_Upper,19625,1,1
IG_C_Upper,19627,1,1
IG_C_Upper,19628,1,1
IG_C_Upper,19629,1,1
IG_C_Upper,19630,1,1
IG_C_Upper,19631,1,1
IG_C_Upper,19632,1,1
IG_C_Upper,19633,1,1
IG_C_Upper,19635,1,1
IG_C_Upper,19637,1,1
IG_C_Upper,19639,1,1
IG_C_Upper,19640,1,1
IG_C_Upper,19643,1,1
IG_C_Upper,19645,1,1
IG_C_Upper,19646,1,1
IG_C_Upper,19647,1,1
IG_C_Upper,19648,1,1
IG_C_Upper,19649,1,1
IG_C_Upper,19650,1,1
IG_C_Upper,19652,1,1
IG_C_Upper,19653,1,1
IG_C_Upper,19654,1,1
IG_C_Upper,19655,1,1
IG_C_Upper,19656,1,1
IG_C_Upper,19657,1,1
IG_C_Upper,19658,1,1
IG_C_Upper,19659,1,1
IG_C_Upper,19660,1,1
IG_C_Upper,19661,1,1
IG_C_Upper,19663,1,1
IG_C_Upper,19664,1,1
IG_C_Upper,19665,1,1
IG_C_Upper,19666,1,1
IG_C_Upper,19667,1,1
IG_C_Upper,19668,1,1
IG_C_Upper,19670,1,1
IG_C_Upper,19671,1,1
IG_C_Upper,19676,1,1
IG_C_Upper,19677,1,1
IG_C_Upper,19678,1,1
IG_C_Upper,19682,1,1
IG_C_Upper,19685,1,1
IG_C_Upper,19686,1,1
IG_C_Upper,19687,1,1
IG_C_Upper,19690,1,1
IG_C_Upper,19695,1,1
IG_C_Upper,19696,1,1
IG_C_Upper,19697,1,1
IG_C_Upper,19701,1,1
IG_C_Upper,19702,1,1
IG_C_Upper,19706,1,1
IG_C_Upper,19707,1,1
IG_C_Upper,19709,1,1
IG_C_Upper,19712,1,1
IG_C_Upper,19714,1,1
IG_C_Upper,19716,1,1
IG_C_Upper,19717,1,1
IG_C_Upper,19718,1,1
IG_C_Upper,19719,1,1
IG_C_Upper,19720,1,1
IG_C_Upper,19721,1,1
IG_C_Upper,19723,1,1
IG_C_Upper,19724,1,1
IG_C_Upper,19727,1,1
IG_C_Upper,19728,1,1
IG_C_Upper,19729,1,1
IG_C_Upper,19730,1,1
IG_C_Upper,19731,1,1
IG_C_Upper,19733,1,1
IG_C_Upper,19734,1,1
IG_C_Upper,19735,1,1
IG_C_Upper,19737,1,1
IG_C_Upper,19738,1,1
IG_C_Upper,19739,1,1
IG_C_Upper,19741,1,1
IG_C_Upper,19744,1,1
IG_C_Upper,19745,1,1
IG_C_Upper,19749,1,1
IG_C_Upper,19750,1,1
